20201118,相城,阳澄湖,整租·聆湖丽墅,5室2厅,256平米,5000
20201118,相城,阳澄湖,整租·湖畔樾山,4室2厅,134平米,2800
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,116平米,2500
20201118,相城,阳澄湖,整租·湖畔樾山,4室2厅,134平米,3100
20201118,相城,阳澄湖,和沁园,5室2厅,310平米,3500
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,90平米,1500
20201118,相城,阳澄湖,整租·中惠爱丁堡,6室2厅,221平米,6000
20201118,相城,阳澄湖,整租·湖畔樾山,4室2厅,134平米,3000
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,107平米,2500
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,89平米,1900
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,90平米,2200
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,90平米,2300
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,116平米,2400
20201118,相城,阳澄湖,整租·澄苑二区,3室2厅,110平米,2120
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,89平米,2800
20201118,相城,阳澄湖,整租·湖畔樾山,5室2厅,178平米,3900
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,178平米,3000
20201118,相城,阳澄湖,整租·中惠爱丁堡,4室2厅,130平米,2500
20201118,相城,阳澄湖,整租·湖畔樾山,5室2厅,158平米,3500
20201118,相城,阳澄湖,整租·湘苑二区,1室1厅,80平米,1500
20201118,相城,阳澄湖,整租·乐澄花园,2室1厅,172平米,3500
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,101平米,2050
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,89平米,2400
20201118,相城,阳澄湖,整租·澄苑一区,3室1厅,110平米,2200
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,101平米,1800
20201118,相城,阳澄湖,整租·湖畔樾山,3室1厅,158平米,3000
20201118,相城,阳澄湖,整租·中惠爱丁堡,3室1厅,109平米,2000
20201118,相城,阳澄湖,整租·湖畔樾山,5室2厅,178平米,3770
20201118,相城,阳澄湖,整租·中惠爱丁堡,3室2厅,130平米,2000
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,89平米,1500
20201118,相城,阳澄湖,整租·中惠爱丁堡,5室2厅,280平米,3450
20201118,相城,阳澄湖,整租·阳澄花园东区,3室2厅,130平米,1800
20201118,相城,阳澄湖,整租·中惠爱丁堡,3室2厅,110平米,1400
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,89平米,1500
20201118,相城,阳澄湖,整租·阳澄花园东区,3室2厅,145平米,2200
20201118,相城,阳澄湖,整租·中惠爱丁堡,4室2厅,130平米,2000
20201118,相城,阳澄湖,整租·湖畔樾山,3室2厅,101平米,1600
